,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,258.84302325581393,5,1.0,1.0
1,zoologist,historian,49.4485049833887,3,2.0,2.0
7,zoologist,philosopher,4.30564784053156,1,3.0,8.0
8,theologian,philosopher,4827.429370048556,36,1.0,1.0
9,theologian,historian,2702.0447546639407,27,2.0,2.0
10,theologian,mathematician,562.4704916058897,12,3.0,3.0
21,physicist,mathematician,568.2042461737229,10,1.0,1.0
22,physicist,astronomer,274.30681027628697,7,2.0,2.0
23,physicist,philosopher,126.69107604282023,5,3.0,3.0
30,philosopher,theologian,4827.429370048556,36,1.0,1.0
31,philosopher,mathematician,1472.3524469716328,20,2.0,2.0
32,philosopher,astronomer,713.1876118067977,14,3.0,3.0
44,paleontologist,zoologist,41.02325581395348,1,2.0,1.0
45,paleontologist,botanist,41.02325581395348,1,1.0,2.0
47,musicologist,theologian,8.67909212880143,1,3.0,2.0
49,musicologist,historian,7.930315614617941,1,1.0,4.0
50,musicologist,philosopher,7.930315614617941,1,2.0,5.0
51,meteorologist,mathematician,48.99865831842577,2,1.0,1.0
53,meteorologist,historian,10.367109634551493,1,2.0,3.0
54,meteorologist,philosopher,10.367109634551493,1,3.0,4.0
55,mathematician,astronomer,11329.701260836659,53,1.0,1.0
56,mathematician,philosopher,1472.3524469716328,20,2.0,2.0
58,mathematician,theologian,562.4704916058897,12,3.0,4.0
68,logician,philosopher,47.16320598006644,1,1.0,1.0
69,linguist,theologian,356.59380590339885,7,1.0,1.0
70,linguist,historian,240.8771357380162,6,2.0,2.0
71,linguist,philosopher,104.46897247271,4,3.0,3.0
76,historian,theologian,2702.0447546639407,27,1.0,1.0
77,historian,geographer,1111.9121488976139,16,2.0,2.0
78,historian,philosopher,403.0195775984813,11,3.0,3.0
90,geologist,theologian,24.499329159212884,1,2.0,1.0
91,geologist,historian,22.612126245847175,1,1.0,2.0
92,geographer,historian,1111.9121488976139,16,1.0,1.0
93,geographer,astronomer,461.32672995609033,10,2.0,2.0
94,geographer,mathematician,371.914142543503,9,3.0,3.0
106,economist,astronomer,5.692707002300025,1,3.0,4.0
108,economist,historian,5.162850023730422,1,1.0,6.0
109,economist,philosopher,5.162850023730422,1,2.0,7.0
110,chemist,physicist,23.520725667527994,1,3.0,1.0
111,chemist,astronomer,15.69771168753727,1,2.0,2.0
112,chemist,theologian,15.69771168753727,1,1.0,3.0
113,botanist,zoologist,258.84302325581393,5,1.0,1.0
115,botanist,theologian,22.612701252236135,2,3.0,3.0
117,botanist,historian,20.734219269102987,2,2.0,5.0
121,astronomer,mathematician,11329.701260836659,53,1.0,1.0
122,astronomer,philosopher,713.1876118067977,14,2.0,2.0
123,astronomer,geographer,461.32672995609033,10,3.0,3.0
134,anthropologist,geographer,37.792899929527835,2,2.0,1.0
135,anthropologist,historian,28.883997785160577,2,1.0,2.0
139,anthropologist,philosopher,6.312569213732004,1,3.0,6.0
141,anatomist,astronomer,11.306350626118068,1,2.0,2.0
142,anatomist,mathematician,11.306350626118068,1,3.0,3.0
143,anatomist,philosopher,10.367109634551493,1,1.0,4.0
