,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,theologian,544.0013076168682,9,1.0,1.0
1,zoologist,botanist,454.1865757744745,8,2.0,2.0
2,zoologist,physicist,269.0567178816607,6,3.0,3.0
14,theologian,historian,61981.16186964997,98,2.0,1.0
15,theologian,philosopher,55073.97342995168,104,1.0,2.0
16,theologian,mathematician,8172.907083352028,38,3.0,3.0
32,political scientist,historian,151.4035214848716,2,1.0,1.0
33,political scientist,anthropologist,95.12140859394864,1,3.0,2.0
34,political scientist,philosopher,28.69927536231884,1,2.0,3.0
35,physicist,mathematician,4631.052665230852,27,1.0,1.0
36,physicist,philosopher,1440.173913043478,16,2.0,2.0
37,physicist,theologian,999.9008708365116,13,3.0,3.0
51,philosopher,theologian,55073.97342995168,104,1.0,1.0
52,philosopher,mathematician,6188.184782608697,34,2.0,2.0
53,philosopher,historian,1951.3630434782606,18,3.0,3.0
70,pharmacologist,chemist,162.5002179361447,2,1.0,1.0
71,pharmacologist,anatomist,46.57615052123061,1,3.0,2.0
72,pharmacologist,botanist,32.303686005294566,1,2.0,3.0
78,paleontologist,botanist,10.930744380131916,1,3.0,6.0
79,paleontologist,theologian,10.221268751589118,1,1.0,7.0
80,paleontologist,philosopher,9.58695652173913,1,2.0,8.0
81,musicologist,mathematician,454.1865757744745,8,1.0,1.0
82,musicologist,theologian,326.03305364861427,7,2.0,2.0
84,musicologist,philosopher,154.43788819875775,5,3.0,4.0
95,meteorologist,botanist,126.26975847547254,3,1.0,1.0
98,meteorologist,geographer,14.707687697504628,1,3.0,4.0
101,meteorologist,theologian,11.945098252878571,1,2.0,7.0
102,mathematician,astronomer,78895.14905464032,100,1.0,1.0
103,mathematician,theologian,8172.907083352028,38,2.0,2.0
104,mathematician,philosopher,6188.184782608697,34,3.0,3.0
119,logician,philosopher,270.03260869565224,3,1.0,1.0
120,logician,theologian,125.51237392999406,2,2.0,2.0
121,logician,physicist,34.44412662090007,1,3.0,3.0
122,linguist,theologian,1615.280752606153,13,1.0,1.0
123,linguist,philosopher,900.108695652174,10,2.0,2.0
124,linguist,historian,557.0991456903128,7,3.0,3.0
132,historian,theologian,61981.16186964997,98,1.0,1.0
133,historian,philosopher,1951.3630434782606,18,2.0,2.0
134,historian,mathematician,1947.2125476735314,17,3.0,3.0
147,geologist,mathematician,65.31195056794058,3,2.0,1.0
148,geologist,philosopher,57.83361204013378,3,1.0,2.0
152,geologist,historian,31.967966320483484,2,3.0,6.0
160,geographer,mathematician,4234.459606497061,25,1.0,1.0
161,geographer,astronomer,3198.1525817050983,19,2.0,2.0
163,geographer,theologian,1241.0729807610815,14,3.0,4.0
175,economist,historian,42.69914569031274,2,3.0,1.0
177,economist,theologian,34.94741927281973,2,1.0,3.0
178,economist,philosopher,32.90869565217391,2,2.0,4.0
185,chemist,philosopher,404.723602484472,8,1.0,1.0
186,chemist,botanist,252.53951695094509,6,2.0,2.0
189,chemist,theologian,56.57273618829683,3,3.0,5.0
199,botanist,anatomist,836.9794499035311,10,1.0,1.0
200,botanist,zoologist,454.1865757744745,8,2.0,2.0
202,botanist,theologian,193.82211603176737,6,3.0,4.0
216,astronomer,mathematician,78895.14905464032,100,1.0,1.0
217,astronomer,theologian,3252.4415595845794,21,2.0,2.0
218,astronomer,geographer,3198.1525817050983,19,3.0,3.0
229,art theorist,mathematician,100.83325481222238,1,1.0,1.0
230,archeologist,historian,937.7403763030766,7,1.0,1.0
231,archeologist,anthropologist,431.02059496567506,3,2.0,2.0
232,archeologist,theologian,60.80252563776592,2,3.0,3.0
236,anthropologist,archeologist,431.02059496567506,3,1.0,1.0
238,anthropologist,philosopher,57.39855072463768,2,2.0,3.0
241,anthropologist,theologian,14.246970082210357,1,3.0,6.0
242,anatomist,botanist,836.9794499035311,10,1.0,1.0
243,anatomist,mathematician,129.21474402117826,4,3.0,2.0
244,anatomist,philosopher,114.79710144927536,4,2.0,3.0
