,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,12.270422535211265,1,2.0,1.0
1,zoologist,musicologist,12.270422535211265,1,3.0,2.0
3,zoologist,mathematician,6.01564945226917,1,1.0,4.0
4,theologian,philosopher,884.5121126760565,18,1.0,1.0
5,theologian,historian,238.56914212548014,10,2.0,2.0
8,theologian,mathematician,22.716901408450706,3,3.0,5.0
14,physicist,mathematician,59.17449139280126,2,1.0,1.0
15,physicist,philosopher,12.270422535211265,1,2.0,2.0
16,philosopher,theologian,884.5121126760565,18,1.0,1.0
17,philosopher,historian,149.6236875800256,8,2.0,2.0
18,philosopher,mathematician,69.20579029733959,5,3.0,3.0
27,musicologist,linguist,5.240845070422535,1,3.0,2.0
29,musicologist,philosopher,3.8560563380281696,1,2.0,4.0
30,musicologist,historian,3.35729833546735,1,1.0,5.0
31,mathematician,astronomer,523.682148446233,11,1.0,1.0
32,mathematician,geographer,243.8938445487741,7,2.0,2.0
33,mathematician,philosopher,69.20579029733959,5,3.0,3.0
40,linguist,historian,104.49167733674778,6,1.0,1.0
41,linguist,geographer,19.835680751173708,2,3.0,2.0
43,linguist,philosopher,10.48169014084507,2,2.0,4.0
48,historian,geographer,259.62633376013656,8,3.0,1.0
49,historian,theologian,238.56914212548014,10,1.0,2.0
50,historian,philosopher,149.6236875800256,8,2.0,3.0
59,geographer,astronomer,529.8621730382293,9,1.0,1.0
60,geographer,historian,259.62633376013656,8,2.0,2.0
61,geographer,mathematician,243.8938445487741,7,3.0,3.0
65,economist,philosopher,24.54084507042253,2,3.0,1.0
66,economist,theologian,24.54084507042253,2,2.0,2.0
67,economist,historian,21.973111395646608,2,1.0,3.0
69,botanist,philosopher,18.89605633802817,2,1.0,1.0
72,botanist,linguist,5.240845070422535,1,3.0,4.0
73,botanist,theologian,3.8560563380281696,1,2.0,5.0
74,astronomer,geographer,529.8621730382293,9,2.0,1.0
75,astronomer,mathematician,523.682148446233,11,1.0,2.0
76,astronomer,historian,51.28411377355039,4,3.0,3.0
81,archeologist,anthropologist,122.25391236306729,2,2.0,1.0
82,archeologist,historian,71.57074263764405,3,1.0,2.0
83,archeologist,theologian,7.572300469483569,1,3.0,3.0
84,anthropologist,historian,129.81316688006828,4,1.0,1.0
85,anthropologist,archeologist,122.25391236306729,2,3.0,2.0
86,anthropologist,theologian,33.972300469483564,2,2.0,3.0
87,anatomist,historian,23.85691421254802,1,1.0,1.0
