,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,472.83815628815637,9,1.0,1.0
1,zoologist,mathematician,132.70933347698053,5,2.0,2.0
3,zoologist,physicist,45.48761401996697,3,3.0,4.0
13,theologian,philosopher,25965.75014005602,65,1.0,1.0
14,theologian,historian,5461.214880952381,29,2.0,2.0
15,theologian,mathematician,1017.9854341736694,13,3.0,3.0
25,sociologist,historian,37.400396825396825,1,1.0,1.0
26,sociologist,philosopher,35.08580765639589,1,2.0,2.0
27,physicist,mathematician,2675.1428598890543,25,1.0,1.0
28,physicist,astronomer,2198.2746965452848,22,2.0,2.0
29,physicist,philosopher,335.37815400670075,9,3.0,3.0
44,philosopher,theologian,25965.75014005602,65,1.0,1.0
45,philosopher,mathematician,7975.613448124347,43,2.0,2.0
46,philosopher,historian,3838.0246965452848,29,3.0,3.0
61,pharmacologist,botanist,101.03809523809522,2,1.0,1.0
62,pharmacologist,chemist,44.68809523809524,1,3.0,2.0
63,pharmacologist,zoologist,30.33864468864469,1,2.0,3.0
64,paleontologist,botanist,74.80079365079365,2,1.0,1.0
66,paleontologist,linguist,17.738293650793647,1,2.0,3.0
67,paleontologist,philosopher,16.583380018674134,1,3.0,4.0
68,musicologist,mathematician,582.4878618113912,9,1.0,1.0
69,musicologist,astronomer,118.12698412698413,4,2.0,2.0
70,musicologist,linguist,65.00198412698414,3,3.0,3.0
78,meteorologist,geographer,19.047619047619047,1,1.0,1.0
79,meteorologist,astronomer,17.738293650793647,1,3.0,2.0
81,meteorologist,mathematician,16.583380018674134,1,2.0,4.0
82,mathematician,astronomer,26604.686461251167,76,1.0,1.0
83,mathematician,philosopher,7975.613448124347,43,2.0,2.0
84,mathematician,physicist,2675.1428598890543,25,3.0,3.0
99,linguist,philosopher,357.4364612511672,9,1.0,1.0
100,linguist,historian,165.3906746031746,6,2.0,2.0
101,linguist,mathematician,154.98057889822593,6,3.0,3.0
115,historian,theologian,5461.214880952381,29,1.0,1.0
116,historian,philosopher,3838.0246965452848,29,2.0,2.0
118,historian,geographer,1001.1904761904763,14,3.0,4.0
131,geologist,botanist,121.44047619047619,5,1.0,1.0
132,geologist,astronomer,41.44047619047618,3,2.0,2.0
136,geologist,linguist,17.190476190476193,2,3.0,6.0
146,geographer,historian,1001.1904761904763,14,1.0,1.0
147,geographer,astronomer,613.4404761904764,11,2.0,2.0
148,geographer,mathematician,382.437675070028,9,3.0,3.0
162,epidemiologist,geographer,14.85952380952381,1,1.0,2.0
163,epidemiologist,astronomer,13.813492063492063,1,3.0,3.0
165,epidemiologist,mathematician,12.890989729225025,1,2.0,5.0
166,economist,philosopher,77.49028944911296,3,1.0,1.0
167,economist,botanist,35.476587301587294,2,3.0,2.0
168,economist,historian,35.476587301587294,2,2.0,3.0
175,chemist,botanist,31.114285714285714,2,3.0,2.0
176,chemist,astronomer,31.114285714285714,2,2.0,3.0
177,chemist,mathematician,29.062605042016806,2,1.0,4.0
183,botanist,zoologist,472.83815628815637,9,1.0,1.0
184,botanist,anatomist,121.44047619047619,5,2.0,2.0
185,botanist,geologist,121.44047619047619,5,3.0,3.0
199,astronomer,mathematician,26604.686461251167,76,1.0,1.0
200,astronomer,philosopher,2845.436461251167,25,2.0,2.0
201,astronomer,physicist,2198.2746965452848,22,3.0,3.0
215,art theorist,linguist,37.400396825396825,1,1.0,1.0
216,art theorist,philosopher,35.08580765639589,1,2.0,2.0
217,archeologist,historian,1074.677777777778,14,1.0,1.0
218,archeologist,anthropologist,365.0666666666667,5,2.0,2.0
219,archeologist,philosopher,41.835947712418296,3,3.0,3.0
231,anthropologist,archeologist,365.0666666666667,5,1.0,1.0
232,anthropologist,historian,202.07619047619045,4,2.0,2.0
234,anthropologist,geographer,12.071428571428573,1,3.0,4.0
237,anatomist,botanist,121.44047619047619,5,1.0,1.0
238,anatomist,philosopher,71.2612044817927,4,2.0,2.0
241,anatomist,historian,41.44047619047618,3,3.0,5.0
