,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,341.51243781094536,8,1.0,1.0
1,zoologist,anatomist,91.42045328911,4,2.0,2.0
6,zoologist,mathematician,14.82603648424544,2,3.0,7.0
12,theologian,philosopher,2799.9802653399665,31,1.0,1.0
13,theologian,historian,2276.6575456053065,25,2.0,2.0
15,theologian,mathematician,283.7686567164179,9,3.0,4.0
27,political scientist,linguist,22.8551133222775,1,2.0,1.0
28,political scientist,philosopher,12.956053067993368,1,3.0,2.0
29,political scientist,theologian,12.956053067993368,1,1.0,3.0
30,physicist,mathematician,967.045499773858,14,1.0,1.0
31,physicist,astronomer,797.0366500829188,11,2.0,2.0
32,physicist,philosopher,185.2159656264134,7,3.0,3.0
41,philosopher,theologian,2799.9802653399665,31,1.0,1.0
42,philosopher,mathematician,701.8242122719736,14,2.0,2.0
43,philosopher,historian,428.65754560530684,11,3.0,3.0
56,pharmacologist,zoologist,53.85124378109453,1,1.0,1.0
57,musicologist,mathematician,103.80995024875621,4,1.0,1.0
58,musicologist,physicist,26.585888738127544,2,3.0,2.0
59,musicologist,historian,24.059950248756216,2,2.0,3.0
65,mathematician,astronomer,4807.864897733554,28,1.0,1.0
67,mathematician,physicist,967.045499773858,14,3.0,3.0
68,mathematician,philosopher,701.8242122719736,14,2.0,4.0
77,logician,mathematician,16.66484245439469,1,1.0,1.0
78,logician,philosopher,12.956053067993368,1,3.0,2.0
79,logician,theologian,12.956053067993368,1,2.0,3.0
80,linguist,theologian,301.83112216694303,8,1.0,1.0
81,linguist,historian,145.25378662244336,5,2.0,2.0
83,linguist,philosopher,38.8681592039801,3,3.0,4.0
89,historian,theologian,2276.6575456053065,25,1.0,1.0
90,historian,geographer,1540.4557835820895,15,2.0,2.0
92,historian,philosopher,428.65754560530684,11,3.0,4.0
101,geologist,chemist,39.89888059701492,1,2.0,1.0
102,geologist,zoologist,25.952487562189052,1,1.0,2.0
103,geographer,historian,1540.4557835820895,15,1.0,1.0
104,geographer,astronomer,1104.0796849087894,11,3.0,2.0
105,geographer,mathematician,981.1432835820896,12,2.0,3.0
111,economist,chemist,25.952487562189052,1,3.0,1.0
112,economist,historian,16.66484245439469,1,1.0,2.0
113,economist,philosopher,12.956053067993368,1,2.0,3.0
114,chemist,anatomist,140.99635157545606,4,2.0,1.0
115,chemist,philosopher,81.51243781094527,4,1.0,2.0
117,chemist,botanist,29.61940298507463,2,3.0,4.0
122,botanist,zoologist,341.51243781094536,8,1.0,1.0
123,botanist,anatomist,256.13432835820896,6,2.0,2.0
125,botanist,mathematician,44.42910447761194,3,3.0,4.0
132,astronomer,mathematician,4807.864897733554,28,1.0,1.0
133,astronomer,geographer,1104.0796849087894,11,2.0,2.0
134,astronomer,physicist,797.0366500829188,11,3.0,3.0
141,art theorist,geographer,81.76194029850747,1,1.0,1.0
142,archeologist,historian,438.70248756218905,4,1.0,1.0
143,archeologist,theologian,20.378109452736318,1,2.0,2.0
144,anthropologist,linguist,72.45787728026535,1,1.0,1.0
145,anatomist,botanist,256.13432835820896,6,1.0,1.0
147,anatomist,zoologist,91.42045328911,4,2.0,3.0
148,anatomist,philosopher,71.60889994472085,4,3.0,4.0
