,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,22.680944055944053,3,1.0,1.0
2,zoologist,philosopher,7.041666666666667,2,3.0,3.0
3,zoologist,historian,6.308608058608059,2,2.0,4.0
9,theologian,historian,183.09099234099227,10,1.0,1.0
10,theologian,philosopher,124.09469696969698,8,2.0,2.0
12,theologian,mathematician,49.513986013986006,5,3.0,4.0
20,political scientist,philosopher,10.083333333333332,1,2.0,1.0
21,political scientist,historian,9.232600732600732,1,1.0,2.0
22,physicist,mathematician,113.78461538461536,7,1.0,1.0
25,physicist,philosopher,6.016666666666666,2,3.0,4.0
26,physicist,historian,5.363003663003663,2,2.0,5.0
32,philosopher,theologian,124.09469696969698,8,1.0,1.0
33,philosopher,historian,20.01190476190476,4,2.0,2.0
34,philosopher,astronomer,14.094696969696969,3,3.0,3.0
46,musicologist,archeologist,2.9388111888111887,1,3.0,2.0
48,musicologist,theologian,2.9388111888111887,1,2.0,4.0
50,musicologist,philosopher,2.25,1,1.0,6.0
51,meteorologist,astronomer,24.504662004662006,2,1.0,1.0
52,meteorologist,geologist,17.55128205128205,1,3.0,2.0
54,meteorologist,historian,3.7509157509157505,1,2.0,4.0
55,mathematician,astronomer,435.6958041958042,14,1.0,1.0
56,mathematician,physicist,113.78461538461536,7,2.0,2.0
57,mathematician,theologian,49.513986013986006,5,3.0,3.0
67,linguist,theologian,82.93991841491841,4,1.0,1.0
68,linguist,historian,34.338644688644685,3,2.0,2.0
71,linguist,philosopher,3.008333333333333,1,3.0,5.0
72,historian,theologian,183.09099234099227,10,1.0,1.0
73,historian,archeologist,85.76631701631702,7,2.0,2.0
76,historian,philosopher,20.01190476190476,4,3.0,5.0
86,geologist,chemist,40.66117216117216,2,1.0,1.0
88,geologist,astronomer,5.231934731934732,1,3.0,3.0
89,geologist,historian,3.7509157509157505,1,2.0,4.0
90,geographer,mathematician,11.076923076923078,1,2.0,1.0
91,geographer,historian,9.232600732600732,1,1.0,2.0
92,economist,zoologist,15.39102564102564,1,2.0,1.0
93,economist,theologian,12.252331002331003,1,1.0,2.0
94,chemist,geologist,40.66117216117216,2,1.0,1.0
97,chemist,anatomist,2.6815018315018313,1,3.0,4.0
100,chemist,philosopher,1.720238095238095,1,2.0,7.0
101,botanist,zoologist,22.680944055944053,3,2.0,1.0
102,botanist,historian,12.727355977355975,3,1.0,2.0
108,botanist,philosopher,5.1856060606060606,2,3.0,8.0
112,astronomer,mathematician,435.6958041958042,14,1.0,1.0
113,astronomer,theologian,33.644018859927954,4,3.0,2.0
114,astronomer,historian,24.909174159174157,4,2.0,3.0
123,archeologist,historian,85.76631701631702,7,1.0,1.0
124,archeologist,anatomist,7.698018648018647,2,2.0,2.0
125,archeologist,astronomer,6.7018700995973735,2,3.0,3.0
134,anatomist,archeologist,7.698018648018647,2,2.0,1.0
135,anatomist,botanist,7.698018648018647,2,3.0,2.0
136,anatomist,historian,5.363003663003663,2,1.0,3.0
