,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,geographer,20.166666666666664,2,2.0,1.0
1,zoologist,botanist,14.880952380952383,2,3.0,2.0
2,zoologist,historian,11.534632034632034,2,1.0,3.0
6,theologian,philosopher,232.3810134310134,8,1.0,1.0
7,theologian,astronomer,50.85873015873017,3,2.0,2.0
9,theologian,historian,14.545526695526693,2,3.0,4.0
11,sociologist,economist,13.813492063492063,1,3.0,1.0
13,sociologist,historian,3.901875901875902,1,2.0,3.0
14,sociologist,philosopher,3.052503052503053,1,1.0,4.0
15,political scientist,philosopher,17.436202686202687,1,1.0,1.0
16,philosopher,astronomer,271.6050061050061,11,1.0,1.0
17,philosopher,theologian,232.3810134310134,8,2.0,2.0
18,philosopher,mathematician,75.64346764346764,6,3.0,3.0
29,pharmacologist,botanist,26.03571428571429,1,1.0,1.0
30,musicologist,linguist,26.03571428571429,1,1.0,1.0
31,mathematician,astronomer,1535.2539682539684,20,1.0,1.0
32,mathematician,philosopher,75.64346764346764,6,2.0,2.0
33,mathematician,historian,38.16738816738817,4,3.0,3.0
39,logician,theologian,14.85952380952381,1,3.0,1.0
40,logician,linguist,7.440476190476192,1,2.0,2.0
41,logician,philosopher,4.616300366300366,1,1.0,3.0
42,linguist,historian,80.02922077922076,6,1.0,1.0
44,linguist,chemist,18.578571428571426,2,3.0,3.0
45,linguist,philosopher,13.848901098901097,3,2.0,4.0
51,historian,geographer,247.39646464646466,9,1.0,1.0
52,historian,linguist,80.02922077922076,6,2.0,2.0
54,historian,philosopher,34.62340437340438,5,3.0,4.0
62,geographer,historian,247.39646464646466,9,1.0,1.0
63,geographer,mathematician,34.72222222222222,3,2.0,2.0
65,geographer,botanist,12.25,2,3.0,4.0
69,economist,sociologist,13.813492063492063,1,3.0,1.0
71,economist,historian,3.901875901875902,1,2.0,3.0
72,economist,philosopher,3.052503052503053,1,1.0,4.0
73,chemist,linguist,18.578571428571426,2,1.0,1.0
75,chemist,mathematician,4.458730158730159,1,3.0,3.0
76,chemist,astronomer,4.458730158730159,1,2.0,4.0
79,botanist,historian,17.301948051948052,3,1.0,2.0
80,botanist,zoologist,14.880952380952383,2,3.0,3.0
81,botanist,geographer,12.25,2,2.0,4.0
87,astronomer,mathematician,1535.2539682539684,20,1.0,1.0
88,astronomer,philosopher,271.6050061050061,11,2.0,2.0
89,astronomer,theologian,50.85873015873017,3,3.0,3.0
95,anthropologist,sociologist,13.813492063492063,1,3.0,1.0
97,anthropologist,historian,3.901875901875902,1,2.0,3.0
98,anthropologist,philosopher,3.052503052503053,1,1.0,4.0
99,anatomist,philosopher,17.436202686202687,1,1.0,1.0
