,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,136.87370868831542,5,1.0,1.0
1,zoologist,historian,43.224336925781536,3,2.0,2.0
3,zoologist,philosopher,14.17242627388034,2,3.0,4.0
7,theologian,historian,555.1204521134296,11,2.0,1.0
8,theologian,philosopher,541.6664463538224,12,1.0,2.0
9,theologian,astronomer,48.77843037112701,3,3.0,3.0
16,sociologist,historian,26.645371856607813,2,2.0,2.0
17,sociologist,philosopher,21.28858779466843,2,1.0,3.0
19,sociologist,anthropologist,15.856179775280898,1,3.0,5.0
20,political scientist,sociologist,51.41872659176029,1,2.0,1.0
21,political scientist,philosopher,13.769552764926194,1,1.0,2.0
22,physicist,astronomer,28.48723186925434,2,2.0,1.0
23,physicist,philosopher,17.13218770654329,2,1.0,2.0
25,physicist,chemist,9.214887640449438,1,3.0,4.0
28,philosopher,astronomer,889.5694386028158,18,1.0,1.0
29,philosopher,theologian,541.6664463538224,12,3.0,2.0
30,philosopher,historian,353.63056683347503,13,2.0,3.0
45,pharmacologist,botanist,39.10126764621147,1,1.0,1.0
46,paleontologist,geologist,64.76498127340824,1,2.0,1.0
47,paleontologist,botanist,18.587150677038316,1,1.0,2.0
48,musicologist,philosopher,17.13218770654329,2,1.0,1.0
51,musicologist,linguist,5.551498127340825,1,2.0,4.0
53,musicologist,historian,4.5144462279293744,1,3.0,6.0
54,mathematician,astronomer,5765.883554647599,38,1.0,1.0
55,mathematician,philosopher,353.3231989424984,12,2.0,2.0
57,mathematician,historian,102.74317817014446,6,3.0,4.0
66,logician,linguist,55.40074906367042,2,1.0,1.0
67,logician,theologian,20.29494382022472,1,3.0,2.0
68,logician,philosopher,8.566093853271646,1,2.0,3.0
69,linguist,historian,362.9217495987159,11,1.0,1.0
70,linguist,philosopher,55.82319894249836,5,2.0,2.0
72,linguist,chemist,18.429775280898877,2,3.0,4.0
81,historian,geographer,690.474050294275,13,2.0,1.0
83,historian,linguist,362.9217495987159,11,3.0,3.0
84,historian,philosopher,353.63056683347503,13,1.0,4.0
95,geologist,paleontologist,64.76498127340824,1,3.0,1.0
96,geologist,archeologist,49.4749063670412,2,1.0,2.0
98,geologist,botanist,8.366609046384328,1,2.0,4.0
99,geographer,historian,690.474050294275,13,1.0,1.0
100,geographer,astronomer,125.0338781069118,5,2.0,2.0
101,geographer,mathematician,113.81335830212235,5,3.0,3.0
108,economist,historian,26.645371856607813,2,2.0,1.0
109,economist,philosopher,21.28858779466843,2,1.0,2.0
111,economist,anthropologist,15.856179775280898,1,3.0,4.0
113,chemist,astronomer,89.25570309839974,4,1.0,1.0
114,chemist,linguist,18.429775280898877,2,2.0,2.0
115,chemist,mathematician,18.429775280898877,2,3.0,3.0
121,botanist,zoologist,136.87370868831542,5,2.0,1.0
122,botanist,historian,63.692472321685806,5,1.0,2.0
127,botanist,philosopher,6.079016048943346,2,3.0,7.0
134,astronomer,mathematician,5765.883554647599,38,1.0,1.0
135,astronomer,philosopher,889.5694386028158,18,2.0,2.0
137,astronomer,historian,113.11955834427748,6,3.0,4.0
145,archeologist,anthropologist,134.5123595505618,4,2.0,1.0
146,archeologist,historian,125.57645799892991,6,1.0,2.0
147,archeologist,geologist,49.4749063670412,2,3.0,3.0
155,anthropologist,archeologist,134.5123595505618,4,1.0,1.0
156,anthropologist,historian,21.58587479935795,2,2.0,2.0
160,anthropologist,philosopher,3.426305353602115,1,3.0,6.0
161,anatomist,philosopher,29.443599911874863,1,1.0,1.0
