,source,target,weight
0,astronomer,mathematician,215.42
1,philosopher,theologian,117.64
2,mathematician,philosopher,114.17
3,historian,philosopher,88.58
4,astronomer,philosopher,82.65
5,historian,theologian,69.73
6,geographer,historian,48.44
7,mathematician,physicist,44.79
8,geographer,mathematician,39.01
9,astronomer,geographer,33.4
10,astronomer,physicist,31.11
11,philosopher,physicist,29.7
12,musicologist,philosopher,27.0
13,astronomer,historian,26.5
14,historian,mathematician,25.87
15,historian,linguist,24.54
16,linguist,philosopher,23.81
17,mathematician,theologian,23.42
18,mathematician,musicologist,21.77
19,geographer,philosopher,19.84
20,astronomer,theologian,15.68
21,linguist,mathematician,15.07
22,botanist,zoologist,14.52
23,astronomer,musicologist,13.5
24,astronomer,linguist,13.17
25,archeologist,historian,12.0
26,linguist,theologian,11.24
27,botanist,philosopher,11.05
28,botanist,historian,10.44
29,astronomer,botanist,9.28
30,geographer,physicist,8.57
31,physicist,theologian,8.35
32,botanist,geographer,8.03
33,anthropologist,historian,7.72
34,botanist,mathematician,7.56
35,economist,philosopher,7.52
36,geographer,linguist,7.41
37,anatomist,philosopher,7.12
38,astronomer,chemist,6.99
39,mathematician,zoologist,6.77
40,historian,zoologist,6.53
41,chemist,physicist,6.32
42,chemist,philosopher,6.31
43,historian,musicologist,6.26
44,botanist,linguist,6.21
45,philosopher,zoologist,6.15
46,anthropologist,philosopher,6.06
47,chemist,mathematician,6.04
48,geographer,theologian,5.93
49,anatomist,botanist,5.86
50,musicologist,physicist,5.69
51,botanist,chemist,5.42
52,botanist,physicist,5.38
53,historian,physicist,5.33
54,economist,historian,4.67
55,geographer,zoologist,4.66
56,anthropologist,archeologist,4.5
57,mathematician,meteorologist,4.32
58,anthropologist,geographer,4.11
59,physicist,zoologist,3.98
60,musicologist,theologian,3.87
61,astronomer,zoologist,3.76
62,logician,philosopher,3.6
63,logician,theologian,3.39
64,botanist,theologian,3.38
65,anatomist,historian,3.3
66,philosopher,political scientist,3.19
67,anthropologist,mathematician,3.18
68,chemist,linguist,3.17
69,anthropologist,astronomer,3.0
70,linguist,musicologist,2.6
71,astronomer,meteorologist,2.25
72,theologian,zoologist,2.24
73,anatomist,mathematician,2.22
74,anatomist,chemist,2.18
75,anatomist,zoologist,2.06
76,botanist,pharmacologist,2.0
77,economist,mathematician,1.83
78,anthropologist,botanist,1.79
79,botanist,geologist,1.74
80,anatomist,physicist,1.67
81,anatomist,geographer,1.67
82,geologist,mathematician,1.58
83,astronomer,geologist,1.54
84,anatomist,astronomer,1.53
85,geographer,geologist,1.35
86,archeologist,theologian,1.28
87,meteorologist,philosopher,1.26
88,geographer,musicologist,1.21
89,chemist,geographer,1.16
90,geologist,physicist,1.06
91,linguist,logician,0.99
92,chemist,zoologist,0.92
93,economist,geographer,0.86
94,anthropologist,physicist,0.81
95,meteorologist,physicist,0.76
96,economist,zoologist,0.75
97,botanist,economist,0.71
98,geologist,zoologist,0.66
99,anthropologist,economist,0.66
100,geographer,meteorologist,0.65
101,linguist,physicist,0.6
102,archeologist,astronomer,0.56
103,archeologist,philosopher,0.53
104,geologist,philosopher,0.53
105,economist,theologian,0.51
106,historian,political scientist,0.49
107,archeologist,botanist,0.49
108,philosopher,sociologist,0.46
109,economist,physicist,0.37
110,anatomist,theologian,0.34
111,anatomist,geologist,0.33
112,chemist,geologist,0.29
113,botanist,meteorologist,0.28
114,archeologist,geographer,0.24
115,geologist,historian,0.22
116,anthropologist,linguist,0.21
117,meteorologist,zoologist,0.21
118,linguist,zoologist,0.19
119,historian,sociologist,0.19
120,musicologist,zoologist,0.18
121,archeologist,mathematician,0.16
122,botanist,paleontologist,0.15
123,geologist,meteorologist,0.15
124,chemist,theologian,0.12
125,anatomist,archeologist,0.09
126,anthropologist,geologist,0.09
127,archeologist,geologist,0.09
128,astronomer,economist,0.09
129,archeologist,physicist,0.06
130,chemist,economist,0.06
131,anthropologist,theologian,0.03
132,archeologist,linguist,0.03
133,economist,linguist,0.03
