,source,target,specificity,weight,rank_count,rank_specificity
1,zoologist,philosopher,10.701553348612173,2,1.0,2.0
2,zoologist,astronomer,9.615105482752542,2,3.0,3.0
3,zoologist,geographer,9.615105482752542,2,2.0,4.0
11,theologian,mathematician,32.029411764705884,1,1.0,1.0
12,physicist,astronomer,9.615105482752542,2,1.0,1.0
13,physicist,mathematician,8.68716577540107,2,2.0,2.0
19,physicist,philosopher,1.8833715304303538,1,3.0,8.0
23,philosopher,historian,1399.1600140056023,17,1.0,1.0
24,philosopher,mathematician,527.6862745098039,14,2.0,2.0
25,philosopher,astronomer,415.71234647705234,12,3.0,3.0
35,musicologist,astronomer,44.90244559362207,2,1.0,1.0
36,musicologist,mathematician,41.42156862745098,2,2.0,2.0
37,musicologist,linguist,20.71078431372549,1,3.0,3.0
38,meteorologist,mathematician,24.894117647058827,3,1.0,1.0
40,meteorologist,philosopher,12.1187675070028,2,2.0,3.0
42,meteorologist,geographer,10.919263089851327,2,3.0,5.0
48,mathematician,astronomer,3700.9977375565613,38,1.0,1.0
49,mathematician,philosopher,527.6862745098039,14,2.0,2.0
51,mathematician,geographer,151.76696832579185,8,3.0,4.0
62,linguist,philosopher,131.84313725490193,5,1.0,1.0
63,linguist,astronomer,120.960407239819,5,2.0,2.0
64,linguist,historian,70.61764705882354,3,3.0,3.0
69,historian,philosopher,1399.1600140056023,17,1.0,1.0
70,historian,astronomer,747.7184873949581,13,2.0,2.0
71,historian,mathematician,194.48529411764707,7,3.0,3.0
77,geologist,meteorologist,15.250084033613446,2,2.0,1.0
78,geologist,geographer,10.919263089851327,2,1.0,2.0
79,geologist,botanist,9.894117647058824,2,3.0,3.0
87,geographer,mathematician,151.76696832579185,8,1.0,1.0
89,geographer,astronomer,89.75149172094874,6,2.0,3.0
90,geographer,philosopher,66.60978237448826,5,3.0,4.0
100,geneticist,chemist,50.907796451914095,1,3.0,1.0
101,geneticist,anthropologist,10.287060978237447,1,1.0,2.0
102,geneticist,botanist,9.421568627450979,1,2.0,3.0
107,economist,philosopher,2.2187675070028012,1,1.0,5.0
108,economist,astronomer,1.9346477052359412,1,3.0,6.0
109,economist,geographer,1.9346477052359412,1,2.0,7.0
113,chemist,geneticist,50.907796451914095,1,3.0,1.0
114,chemist,anthropologist,10.287060978237447,1,1.0,2.0
115,chemist,botanist,9.421568627450979,1,2.0,3.0
116,botanist,astronomer,17.92081447963801,3,2.0,1.0
117,botanist,geographer,17.92081447963801,3,1.0,2.0
123,botanist,philosopher,7.686274509803921,2,3.0,8.0
130,astronomer,mathematician,3700.9977375565613,38,1.0,1.0
131,astronomer,historian,747.7184873949581,13,2.0,2.0
132,astronomer,philosopher,415.71234647705234,12,3.0,3.0
143,archeologist,historian,27.783613445378155,1,1.0,1.0
144,archeologist,anthropologist,16.3623141564318,1,2.0,2.0
148,anthropologist,philosopher,8.532859297565182,2,1.0,4.0
149,anthropologist,astronomer,7.621314206155834,2,3.0,5.0
150,anthropologist,geographer,7.621314206155834,2,2.0,6.0
158,anatomist,zoologist,19.68258212375859,1,2.0,1.0
159,anatomist,geographer,16.3623141564318,1,1.0,2.0
