,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,astronomer,109.05650983320885,5,1.0,1.0
1,zoologist,mathematician,93.24271844660193,5,2.0,2.0
3,zoologist,botanist,62.8551086453999,4,3.0,4.0
10,theologian,philosopher,8533.794263018537,48,1.0,1.0
11,theologian,historian,2428.195792880259,22,2.0,2.0
12,theologian,physicist,197.99362934799828,7,3.0,3.0
21,political scientist,historian,70.96248896734335,2,1.0,1.0
22,political scientist,philosopher,51.00614886731392,2,2.0,2.0
23,political scientist,economist,20.93257820927724,1,3.0,3.0
24,physicist,mathematician,239.02322628827486,9,1.0,1.0
25,physicist,theologian,197.99362934799828,7,2.0,2.0
26,physicist,astronomer,119.91843319737269,6,3.0,3.0
37,philosopher,theologian,8533.794263018537,48,1.0,1.0
38,philosopher,historian,354.8124448367167,10,3.0,2.0
39,philosopher,mathematician,310.71074433656963,11,2.0,3.0
52,musicologist,mathematician,137.3127600554785,5,1.0,1.0
53,musicologist,astronomer,100.80658985027918,4,2.0,2.0
54,musicologist,theologian,66.35836170302188,3,3.0,3.0
59,meteorologist,zoologist,18.64854368932039,1,3.0,1.0
60,meteorologist,physicist,13.909260642270352,1,1.0,2.0
61,meteorologist,botanist,12.78224687933426,1,2.0,3.0
62,mathematician,astronomer,1106.40784167289,19,1.0,1.0
63,mathematician,philosopher,310.71074433656963,11,2.0,2.0
64,mathematician,physicist,239.02322628827486,9,3.0,3.0
77,logician,theologian,16.780670785525157,1,1.0,1.0
78,logician,mathematician,11.806148867313917,1,3.0,2.0
79,logician,philosopher,11.806148867313917,1,2.0,3.0
80,linguist,historian,224.19770520741392,5,1.0,1.0
81,linguist,botanist,25.56449375866852,2,2.0,2.0
84,linguist,theologian,7.47043248014122,1,3.0,5.0
86,historian,theologian,2428.195792880259,22,1.0,1.0
87,historian,philosopher,354.8124448367167,10,2.0,2.0
88,historian,geographer,240.96057664018835,6,3.0,3.0
98,geologist,astronomer,9.968757779437391,1,1.0,2.0
99,geologist,botanist,9.126329172445677,1,2.0,3.0
100,geologist,mathematician,8.397087378640778,1,3.0,4.0
101,geographer,historian,240.96057664018835,6,1.0,1.0
102,geographer,mathematician,173.59417475728156,6,2.0,2.0
103,geographer,astronomer,87.24520786656707,4,3.0,3.0
109,economist,historian,21.129891144454252,2,1.0,1.0
111,economist,philosopher,14.529557713052862,2,2.0,3.0
114,economist,theologian,4.4026184171815235,1,3.0,6.0
118,chemist,botanist,93.05653523545341,4,1.0,1.0
119,chemist,physicist,55.26812831181764,3,2.0,2.0
120,chemist,philosopher,47.14133148404993,3,3.0,3.0
125,botanist,chemist,93.05653523545341,4,3.0,1.0
126,botanist,zoologist,62.8551086453999,4,2.0,2.0
128,botanist,astronomer,46.62416871154735,4,1.0,4.0
139,astronomer,mathematician,1106.40784167289,19,1.0,1.0
140,astronomer,philosopher,187.14630321135178,8,2.0,2.0
141,astronomer,physicist,119.91843319737269,6,3.0,3.0
152,archeologist,anthropologist,651.2242718446602,4,1.0,1.0
153,archeologist,astronomer,34.135947224296736,2,2.0,2.0
156,archeologist,philosopher,6.361359223300971,1,3.0,5.0
157,anthropologist,archeologist,651.2242718446602,4,1.0,1.0
158,anthropologist,botanist,54.925104022191405,2,2.0,2.0
159,anthropologist,historian,16.780670785525157,1,3.0,3.0
160,anatomist,zoologist,63.654449838187716,3,3.0,1.0
161,anatomist,botanist,43.84194405917706,3,2.0,2.0
162,anatomist,philosopher,40.54417475728155,3,1.0,3.0
