,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,56.24492753623188,3,2.0,1.0
1,zoologist,theologian,43.86115942028986,3,1.0,2.0
2,zoologist,philosopher,15.687666950838306,2,3.0,3.0
10,theologian,historian,10097.250891861762,49,1.0,1.0
11,theologian,philosopher,7079.060912190966,47,2.0,2.0
12,theologian,mathematician,1390.2609121909634,21,3.0,3.0
25,political scientist,historian,61.70800817539948,1,1.0,1.0
26,physicist,mathematician,354.92754169672327,10,1.0,1.0
27,physicist,theologian,141.09704570791527,6,2.0,2.0
28,physicist,philosopher,123.14473626685904,6,3.0,3.0
39,philosopher,theologian,7079.060912190966,47,1.0,1.0
40,philosopher,mathematician,892.6258504254217,18,2.0,2.0
41,philosopher,historian,169.8506186198002,7,3.0,3.0
61,paleontologist,physicist,6.087142326272761,1,3.0,6.0
62,paleontologist,theologian,5.044927536231884,1,1.0,7.0
63,paleontologist,philosopher,4.252486501847115,1,2.0,8.0
64,musicologist,historian,105.37207357859532,4,1.0,1.0
65,musicologist,theologian,90.2963768115942,4,2.0,2.0
66,musicologist,mathematician,78.77301790281331,4,3.0,3.0
73,meteorologist,botanist,35.530020703933744,2,1.0,1.0
78,meteorologist,theologian,6.012525879917184,1,2.0,6.0
79,meteorologist,mathematician,5.101703000040596,1,3.0,7.0
80,mathematician,astronomer,9277.46648712186,46,1.0,1.0
81,mathematician,theologian,1390.2609121909634,21,2.0,2.0
82,mathematician,philosopher,892.6258504254217,18,3.0,3.0
97,logician,theologian,53.21811594202899,1,1.0,1.0
98,linguist,theologian,208.9630434782609,6,1.0,1.0
99,linguist,philosopher,125.47890025575448,5,2.0,2.0
100,linguist,historian,105.37207357859532,4,3.0,3.0
107,historian,theologian,10097.250891861762,49,1.0,1.0
108,historian,philosopher,169.8506186198002,7,2.0,2.0
109,historian,mathematician,169.8506186198002,7,3.0,3.0
120,geologist,chemist,29.574110671936754,2,3.0,1.0
121,geologist,anatomist,23.51803609214676,2,2.0,2.0
123,geologist,philosopher,13.937075357152086,2,1.0,4.0
131,geographer,mathematician,423.00659407372956,10,1.0,1.0
132,geographer,astronomer,321.4519203896674,7,2.0,2.0
133,geographer,historian,84.8160619573663,4,3.0,3.0
142,economist,historian,19.277870680044593,1,1.0,1.0
143,economist,philosopher,14.296888320545607,1,2.0,2.0
144,economist,mathematician,14.296888320545607,1,3.0,3.0
145,chemist,philosopher,125.47890025575448,5,1.0,1.0
146,chemist,botanist,63.130434782608695,3,2.0,2.0
147,chemist,geologist,29.574110671936754,2,3.0,3.0
154,botanist,anatomist,213.9776021080369,6,1.0,1.0
155,botanist,theologian,65.81739130434782,4,2.0,2.0
156,botanist,chemist,63.130434782608695,3,3.0,3.0
166,astronomer,mathematician,9277.46648712186,46,1.0,1.0
167,astronomer,theologian,1099.290184453228,15,2.0,2.0
168,astronomer,geographer,321.4519203896674,7,3.0,3.0
177,art theorist,mathematician,46.72641375390736,1,1.0,1.0
178,archeologist,anthropologist,161.62415458937195,2,2.0,1.0
179,archeologist,historian,108.72465626161276,3,1.0,2.0
181,archeologist,philosopher,7.843833475419153,1,3.0,4.0
183,anthropologist,archeologist,161.62415458937195,2,1.0,1.0
185,anthropologist,philosopher,10.258596192100027,1,2.0,3.0
186,anthropologist,mathematician,10.258596192100027,1,3.0,4.0
187,anatomist,botanist,213.9776021080369,6,1.0,1.0
188,anatomist,astronomer,55.73291212520462,3,2.0,2.0
190,anatomist,philosopher,13.937075357152086,2,3.0,4.0
