,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,6764.1647948164145,21,1.0,1.0
1,zoologist,philosopher,1756.5759710651719,11,2.0,2.0
2,zoologist,mathematician,1449.9093043985051,10,3.0,3.0
18,theologian,philosopher,1304681.9093043986,298,1.0,1.0
19,theologian,historian,341274.0966427949,145,2.0,2.0
20,theologian,mathematician,52794.35374884295,60,3.0,3.0
37,sociologist,economist,63.38000465845085,1,3.0,2.0
39,sociologist,historian,56.50130915842522,1,1.0,4.0
40,sociologist,philosopher,50.933184202406665,1,2.0,5.0
41,political scientist,philosopher,934.9244170670429,5,1.0,1.0
42,political scientist,historian,369.9938628969833,3,2.0,2.0
43,political scientist,economist,182.77772080754548,2,3.0,3.0
48,physicist,mathematician,76104.34249094657,74,1.0,1.0
49,physicist,astronomer,49033.04401121595,55,2.0,2.0
50,physicist,philosopher,39008.86880673606,53,3.0,3.0
67,philosopher,theologian,1304681.9093043986,298,1.0,1.0
68,philosopher,mathematician,385483.4127069835,175,2.0,2.0
69,philosopher,historian,242361.9966262849,132,3.0,3.0
88,pharmacologist,botanist,1473.610799136069,4,1.0,1.0
89,pharmacologist,chemist,1035.7586393088552,3,2.0,2.0
90,pharmacologist,zoologist,100.89860811135108,1,3.0,3.0
91,paleontologist,botanist,275.8035997120231,1,1.0,1.0
92,musicologist,philosopher,32482.686498706484,40,1.0,1.0
93,musicologist,mathematician,26303.785399805383,36,2.0,2.0
94,musicologist,astronomer,12514.401090989644,23,3.0,3.0
105,meteorologist,mathematician,415.3520826905276,4,1.0,1.0
106,meteorologist,astronomer,271.83239740820727,3,3.0,2.0
107,meteorologist,philosopher,232.1520826905276,3,2.0,3.0
115,mathematician,astronomer,1841238.353748843,354,1.0,1.0
116,mathematician,philosopher,385483.4127069835,175,2.0,2.0
117,mathematician,geographer,91574.86168535089,79,3.0,3.0
136,logician,philosopher,3553.73696390003,9,1.0,1.0
137,logician,theologian,3276.463882889369,8,2.0,2.0
138,logician,linguist,514.8922786177105,3,3.0,3.0
142,linguist,historian,26315.054715622748,38,1.0,1.0
143,linguist,philosopher,21358.3461894477,36,2.0,2.0
144,linguist,theologian,15068.7185025198,28,3.0,3.0
158,historian,theologian,341274.0966427949,145,1.0,1.0
159,historian,philosopher,242361.9966262849,132,2.0,2.0
160,historian,geographer,93682.72822174225,76,3.0,3.0
178,geologist,astronomer,179.24859611231102,3,3.0,2.0
181,geologist,historian,169.50392747527562,3,1.0,5.0
182,geologist,physicist,169.50392747527562,3,2.0,6.0
192,geographer,historian,93682.72822174225,76,2.0,1.0
193,geographer,mathematician,91574.86168535089,79,1.0,2.0
194,geographer,astronomer,76844.09535237182,67,3.0,3.0
210,epidemiologist,astronomer,59.749532037437,1,2.0,1.0
212,epidemiologist,physicist,56.50130915842522,1,1.0,3.0
214,epidemiologist,mathematician,50.933184202406665,1,3.0,5.0
215,economist,philosopher,2604.2155153638128,13,1.0,1.0
216,economist,historian,1084.9373923151163,8,2.0,2.0
217,economist,mathematician,548.3331624226364,6,3.0,3.0
232,chemist,philosopher,3213.0604751619867,14,1.0,1.0
233,chemist,astronomer,1544.6768358531322,9,3.0,2.0
234,chemist,physicist,1462.4362945701187,9,2.0,3.0
248,botanist,zoologist,6764.1647948164145,21,1.0,1.0
249,botanist,philosopher,3789.132736809627,17,2.0,2.0
251,botanist,historian,2445.02628926528,13,3.0,4.0
268,astronomer,mathematician,1841238.353748843,354,1.0,1.0
269,astronomer,philosopher,236816.76644725565,127,2.0,2.0
270,astronomer,geographer,76844.09535237182,67,3.0,3.0
286,art theorist,mathematician,130.29327368096267,1,2.0,1.0
287,art theorist,philosopher,130.29327368096267,1,1.0,2.0
288,archeologist,historian,20435.883141980223,29,1.0,1.0
289,archeologist,anthropologist,968.5073052979291,6,2.0,2.0
290,archeologist,philosopher,541.2358325619664,5,3.0,3.0
300,anthropologist,historian,2453.0364635225474,12,1.0,1.0
301,anthropologist,archeologist,968.5073052979291,6,3.0,2.0
302,anthropologist,philosopher,548.3331624226364,6,2.0,3.0
317,anatomist,philosopher,6557.983202003181,18,1.0,1.0
318,anatomist,botanist,3585.4467962562994,13,2.0,2.0
319,anatomist,astronomer,1149.4780140665669,7,3.0,3.0
