,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,11.076923076923078,1,1.0,1.0
1,theologian,philosopher,33.230769230769226,3,1.0,1.0
2,theologian,anatomist,11.076923076923078,1,2.0,2.0
3,physicist,botanist,2.5641025641025634,1,3.0,1.0
4,physicist,historian,1.7551282051282056,1,2.0,2.0
5,physicist,philosopher,1.235042735042735,1,1.0,3.0
6,philosopher,mathematician,144.23076923076923,6,1.0,1.0
7,philosopher,theologian,33.230769230769226,3,2.0,2.0
8,philosopher,astronomer,7.901709401709401,2,3.0,3.0
12,pharmacologist,chemist,50.01923076923076,1,1.0,1.0
13,mathematician,philosopher,144.23076923076923,6,1.0,1.0
14,mathematician,astronomer,72.11538461538461,3,2.0,2.0
15,linguist,historian,8.496153846153845,1,1.0,1.0
17,historian,astronomer,1.7551282051282056,1,3.0,2.0
18,historian,physicist,1.7551282051282056,1,1.0,3.0
20,historian,philosopher,0.3102564102564104,1,2.0,5.0
21,epidemiologist,botanist,11.076923076923078,1,1.0,1.0
22,chemist,pharmacologist,50.01923076923076,1,1.0,1.0
23,botanist,zoologist,11.076923076923078,1,3.0,1.0
25,botanist,physicist,2.5641025641025634,1,1.0,3.0
26,botanist,historian,0.9846153846153847,1,2.0,4.0
27,astronomer,mathematician,72.11538461538461,3,1.0,1.0
28,astronomer,philosopher,7.901709401709401,2,2.0,2.0
29,astronomer,historian,1.7551282051282056,1,3.0,3.0
30,anatomist,theologian,11.076923076923078,1,2.0,1.0
31,anatomist,philosopher,2.5641025641025634,1,1.0,2.0
