,source,target,specificity,weight,rank_count,rank_specificity
0,theologian,philosopher,678.7162790697674,9,1.0,1.0
1,theologian,historian,39.093023255813954,2,2.0,2.0
3,theologian,mathematician,10.367109634551493,1,3.0,4.0
5,physicist,mathematician,639.3357696566999,8,2.0,1.0
6,physicist,philosopher,442.8062015503875,8,1.0,2.0
7,physicist,astronomer,246.05005537098563,5,3.0,3.0
11,philosopher,mathematician,10752.162790697674,42,1.0,1.0
12,philosopher,historian,2557.686046511628,22,2.0,2.0
13,philosopher,astronomer,2417.305647840532,20,3.0,3.0
21,pharmacologist,botanist,141.34031007751938,1,1.0,1.0
22,musicologist,philosopher,1214.5162790697675,12,1.0,1.0
23,musicologist,mathematician,977.2242524916945,9,2.0,2.0
24,musicologist,astronomer,297.2242524916943,5,3.0,3.0
27,mathematician,philosopher,10752.162790697674,42,1.0,1.0
28,mathematician,astronomer,8922.236402467963,32,2.0,2.0
29,mathematician,musicologist,977.2242524916945,9,3.0,3.0
34,historian,philosopher,2557.686046511628,22,1.0,1.0
35,historian,geographer,264.558803986711,6,2.0,2.0
37,historian,mathematician,63.23737541528239,3,3.0,4.0
42,geographer,historian,264.558803986711,6,1.0,1.0
43,geographer,mathematician,209.50170859041285,5,3.0,2.0
44,geographer,philosopher,143.73421926910297,5,2.0,3.0
49,botanist,pharmacologist,141.34031007751938,1,3.0,1.0
50,botanist,philosopher,53.403100775193806,2,1.0,2.0
51,botanist,physicist,21.93074935400517,1,2.0,3.0
52,astronomer,mathematician,8922.236402467963,32,1.0,1.0
53,astronomer,philosopher,2417.305647840532,20,2.0,2.0
54,astronomer,musicologist,297.2242524916943,5,3.0,3.0
59,anthropologist,historian,103.53720930232559,2,1.0,1.0
60,anthropologist,philosopher,19.546511627906977,1,2.0,2.0
61,anatomist,geographer,18.5250276854928,1,3.0,1.0
62,anatomist,historian,15.972480620155036,1,2.0,2.0
63,anatomist,philosopher,12.403100775193797,1,1.0,3.0
