,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,173.33730158730157,6,1.0,1.0
1,zoologist,paleontologist,10.083333333333332,1,3.0,2.0
3,zoologist,linguist,2.7222222222222223,1,2.0,4.0
4,theologian,philosopher,504.3343253968254,5,1.0,1.0
5,taxonomist,botanist,18.62003968253968,1,1.0,1.0
6,physicist,astronomer,12.469444444444443,1,1.0,1.0
7,physicist,mathematician,8.382936507936508,1,2.0,2.0
8,philosopher,theologian,504.3343253968254,5,1.0,1.0
9,philosopher,mathematician,39.36068594104309,4,2.0,2.0
10,philosopher,astronomer,31.271626984126986,3,3.0,3.0
15,paleontologist,zoologist,10.083333333333332,1,2.0,1.0
16,paleontologist,geologist,7.704166666666667,1,3.0,2.0
17,paleontologist,botanist,5.00297619047619,1,1.0,3.0
18,meteorologist,botanist,18.62003968253968,1,1.0,1.0
19,mathematician,astronomer,1021.5001984126985,16,1.0,1.0
20,mathematician,linguist,54.67460317460316,5,2.0,2.0
21,mathematician,philosopher,39.36068594104309,4,3.0,3.0
26,linguist,mathematician,54.67460317460316,5,1.0,1.0
27,linguist,geographer,20.166666666666664,2,3.0,2.0
28,linguist,philosopher,6.674603174603175,2,2.0,3.0
35,historian,geographer,7.704166666666667,1,3.0,2.0
36,historian,philosopher,2.3573412698412697,1,1.0,3.0
38,historian,linguist,1.8777777777777775,1,2.0,5.0
39,geologist,botanist,12.700198412698413,2,1.0,1.0
41,geologist,paleontologist,7.704166666666667,1,3.0,3.0
43,geologist,zoologist,5.3388888888888895,1,2.0,5.0
44,geographer,linguist,20.166666666666664,2,1.0,1.0
45,geographer,historian,7.704166666666667,1,3.0,2.0
46,geographer,mathematician,5.00297619047619,1,2.0,3.0
47,economist,historian,12.469444444444443,1,2.0,1.0
48,economist,philosopher,8.382936507936508,1,1.0,2.0
49,botanist,zoologist,173.33730158730157,6,1.0,1.0
52,botanist,anthropologist,16.765873015873016,2,3.0,4.0
53,botanist,geologist,12.700198412698413,2,2.0,5.0
56,astronomer,mathematician,1021.5001984126985,16,1.0,1.0
57,astronomer,philosopher,31.271626984126986,3,2.0,2.0
60,astronomer,linguist,1.8777777777777775,1,3.0,5.0
61,archeologist,anthropologist,16.055555555555557,1,2.0,1.0
62,archeologist,geologist,12.469444444444443,1,1.0,2.0
63,anthropologist,botanist,16.765873015873016,2,1.0,1.0
65,anthropologist,geologist,5.3388888888888895,1,3.0,3.0
66,anthropologist,linguist,2.7222222222222223,1,2.0,4.0
67,anatomist,astronomer,7.704166666666667,1,2.0,1.0
68,anatomist,philosopher,5.00297619047619,1,1.0,2.0
69,anatomist,mathematician,5.00297619047619,1,3.0,3.0
