,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,historian,13.177287581699346,1,1.0,1.0
1,theologian,philosopher,663.843137254902,11,1.0,1.0
2,theologian,historian,72.7911220043573,4,2.0,2.0
3,theologian,musicologist,9.421568627450979,1,3.0,3.0
4,physicist,astronomer,3.6238235294117644,1,3.0,1.0
7,physicist,philosopher,1.6941176470588233,1,2.0,4.0
8,physicist,historian,1.353104575163399,1,1.0,5.0
9,philosopher,theologian,663.843137254902,11,2.0,1.0
10,philosopher,historian,248.52941176470588,12,1.0,2.0
11,philosopher,musicologist,141.23529411764707,6,3.0,3.0
17,musicologist,philosopher,141.23529411764707,6,1.0,1.0
18,musicologist,historian,28.264705882352942,3,2.0,2.0
19,musicologist,theologian,9.421568627450979,1,3.0,3.0
21,mathematician,astronomer,64.75392156862745,4,2.0,1.0
22,mathematician,philosopher,37.686274509803916,4,1.0,2.0
23,mathematician,geographer,14.35392156862745,2,3.0,3.0
27,historian,philosopher,248.52941176470588,12,1.0,1.0
28,historian,theologian,72.7911220043573,4,3.0,2.0
29,historian,geographer,65.88643790849673,5,2.0,3.0
36,geographer,historian,65.88643790849673,5,1.0,1.0
37,geographer,mathematician,14.35392156862745,2,2.0,2.0
40,geographer,philosopher,1.6941176470588233,1,3.0,5.0
41,astronomer,mathematician,64.75392156862745,4,1.0,1.0
42,astronomer,philosopher,24.894117647058827,3,2.0,2.0
45,astronomer,historian,1.353104575163399,1,3.0,5.0
46,anatomist,philosopher,6.617647058823529,1,2.0,1.0
47,anatomist,historian,5.687908496732026,1,1.0,2.0
