,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,213.429256023847,5,1.0,1.0
1,zoologist,geographer,144.55623361210016,4,3.0,2.0
2,zoologist,historian,135.03502525461622,4,2.0,3.0
13,theologian,philosopher,17166.165418389894,42,1.0,1.0
14,theologian,historian,4605.086114101183,20,2.0,2.0
15,theologian,astronomer,299.7473986365268,5,3.0,3.0
24,sociologist,economist,28.998959454610695,1,3.0,2.0
26,sociologist,historian,21.26805705059203,1,1.0,4.0
27,sociologist,philosopher,17.60902498442015,1,2.0,5.0
28,political scientist,philosopher,126.41664306082751,2,1.0,1.0
29,political scientist,sociologist,121.87473986365266,1,3.0,2.0
30,political scientist,linguist,42.260700189656056,1,2.0,3.0
31,physicist,mathematician,3263.2322090659004,20,1.0,1.0
32,physicist,astronomer,2352.618875732567,17,3.0,2.0
33,physicist,philosopher,1850.2305837251909,17,2.0,3.0
46,philosopher,mathematician,44745.599004777825,83,1.0,1.0
47,philosopher,astronomer,29131.283215304145,67,2.0,2.0
48,philosopher,historian,26491.34782731857,66,3.0,3.0
65,pharmacologist,botanist,460.5086114101184,2,1.0,1.0
66,musicologist,philosopher,5701.9399876620155,23,1.0,1.0
67,musicologist,mathematician,3066.7393254395406,15,2.0,2.0
68,musicologist,astronomer,1356.3689550691704,10,3.0,3.0
75,meteorologist,mathematician,105.56073196986007,3,1.0,1.0
76,meteorologist,astronomer,45.62739863652673,2,3.0,2.0
77,meteorologist,philosopher,35.2180499688403,2,2.0,3.0
85,mathematician,astronomer,175730.91220906592,146,1.0,1.0
86,mathematician,philosopher,44745.599004777825,83,2.0,2.0
87,mathematician,geographer,3952.8855423992336,22,3.0,3.0
100,logician,theologian,243.74947972730533,2,1.0,1.0
101,logician,linguist,172.97498590394179,2,3.0,2.0
102,logician,philosopher,126.41664306082751,2,2.0,3.0
103,linguist,historian,1836.4152025988003,15,2.0,1.0
104,linguist,philosopher,1756.2935406330685,16,1.0,2.0
106,linguist,astronomer,1048.6749295197087,11,3.0,4.0
117,historian,philosopher,26491.34782731857,66,1.0,1.0
118,historian,geographer,7863.595837818443,32,2.0,2.0
120,historian,astronomer,3703.095837818443,22,3.0,4.0
138,geologist,astronomer,10.467398636526731,1,3.0,6.0
139,geologist,physicist,10.467398636526731,1,2.0,7.0
142,geologist,philosopher,7.881207863577134,1,1.0,10.0
143,geographer,historian,7863.595837818443,32,1.0,1.0
144,geographer,mathematician,3952.8855423992336,22,2.0,2.0
145,geographer,astronomer,2639.6410979547895,18,3.0,3.0
158,epidemiologist,botanist,114.1336114101184,1,1.0,1.0
159,economist,philosopher,122.508677506468,4,1.0,1.0
160,economist,anthropologist,37.38576725272097,2,3.0,2.0
161,economist,historian,34.81167025475422,2,2.0,3.0
171,chemist,astronomer,393.4706233486643,6,1.0,1.0
172,chemist,mathematician,271.6039566819976,5,2.0,2.0
175,chemist,philosopher,74.12205592266213,3,3.0,5.0
183,botanist,philosopher,375.3215115290918,8,1.0,2.0
184,botanist,astronomer,365.4708378184428,7,3.0,3.0
185,botanist,historian,341.77059506189454,7,2.0,4.0
198,astronomer,mathematician,175730.91220906592,146,1.0,1.0
199,astronomer,philosopher,29131.283215304145,67,2.0,2.0
200,astronomer,historian,3703.095837818443,22,3.0,3.0
213,archeologist,historian,342.40083423035514,3,1.0,1.0
214,archeologist,theologian,59.94947972730535,1,2.0,2.0
215,archeologist,anthropologist,39.31310847984691,1,3.0,3.0
216,anthropologist,philosopher,153.135846883085,5,1.0,1.0
217,anthropologist,historian,115.99583781844278,4,2.0,2.0
220,anthropologist,astronomer,68.44109795479008,3,3.0,5.0
231,anatomist,philosopher,287.3990992011784,3,1.0,1.0
232,anatomist,geographer,161.17977514651358,2,3.0,2.0
233,anatomist,historian,150.85916756368854,2,2.0,3.0
